adapter,strategy,seed,task,accuracy
quality_seed13,quality,13,word_sorting,0.0
diversity_seed13,diversity,13,boolean_expressions,0.75
diversity_seed13,diversity,13,causal_judgement,0.625
diversity_seed13,diversity,13,date_understanding,0.75
diversity_seed13,diversity,13,disambiguation_qa,0.375
diversity_seed13,diversity,13,dyck_languages,0.375
diversity_seed13,diversity,13,formal_fallacies,0.875
diversity_seed13,diversity,13,geometric_shapes,0.25
diversity_seed13,diversity,13,hyperbaton,0.625
diversity_seed13,diversity,13,logical_deduction_five_objects,0.125
diversity_seed13,diversity,13,logical_deduction_seven_objects,0.125
diversity_seed13,diversity,13,logical_deduction_three_objects,0.125
diversity_seed13,diversity,13,movie_recommendation,0.25
diversity_seed13,diversity,13,multistep_arithmetic_two,0.0
diversity_seed13,diversity,13,navigate,0.625
diversity_seed13,diversity,13,object_counting,0.25
diversity_seed13,diversity,13,penguins_in_a_table,0.0
diversity_seed13,diversity,13,reasoning_about_colored_objects,0.375
diversity_seed13,diversity,13,ruin_names,0.375
diversity_seed13,diversity,13,salient_translation_error_detection,0.0
diversity_seed13,diversity,13,snarks,0.375
diversity_seed13,diversity,13,sports_understanding,0.5
diversity_seed13,diversity,13,temporal_sequences,0.375
diversity_seed13,diversity,13,tracking_shuffled_objects_five_objects,0.375
diversity_seed13,diversity,13,tracking_shuffled_objects_seven_objects,0.0
diversity_seed13,diversity,13,tracking_shuffled_objects_three_objects,0.375
diversity_seed13,diversity,13,web_of_lies,0.125
diversity_seed13,diversity,13,word_sorting,0.0
random_seed42,random,42,boolean_expressions,0.75
random_seed42,random,42,causal_judgement,0.375
random_seed42,random,42,date_understanding,0.5
random_seed42,random,42,disambiguation_qa,0.375
random_seed42,random,42,dyck_languages,0.25
random_seed42,random,42,formal_fallacies,1.0
random_seed42,random,42,geometric_shapes,0.0
random_seed42,random,42,hyperbaton,0.125
random_seed42,random,42,logical_deduction_five_objects,0.0
random_seed42,random,42,logical_deduction_seven_objects,0.0
random_seed42,random,42,logical_deduction_three_objects,0.25
random_seed42,random,42,movie_recommendation,0.125
random_seed42,random,42,multistep_arithmetic_two,0.125
random_seed42,random,42,navigate,0.5
random_seed42,random,42,object_counting,0.0
random_seed42,random,42,penguins_in_a_table,0.125
random_seed42,random,42,reasoning_about_colored_objects,0.25
random_seed42,random,42,ruin_names,0.0
random_seed42,random,42,salient_translation_error_detection,0.0
random_seed42,random,42,snarks,0.375
random_seed42,random,42,sports_understanding,0.5
random_seed42,random,42,temporal_sequences,0.0
random_seed42,random,42,tracking_shuffled_objects_five_objects,0.0
random_seed42,random,42,tracking_shuffled_objects_seven_objects,0.25
random_seed42,random,42,tracking_shuffled_objects_three_objects,0.0
random_seed42,random,42,web_of_lies,0.125
random_seed42,random,42,word_sorting,0.125
quality_seed42,quality,42,boolean_expressions,0.5
quality_seed42,quality,42,causal_judgement,0.5
quality_seed42,quality,42,date_understanding,0.375
quality_seed42,quality,42,disambiguation_qa,0.0
quality_seed42,quality,42,dyck_languages,0.625
quality_seed42,quality,42,formal_fallacies,0.875
quality_seed42,quality,42,geometric_shapes,0.0
quality_seed42,quality,42,hyperbaton,0.375
quality_seed42,quality,42,logical_deduction_five_objects,0.0
quality_seed42,quality,42,logical_deduction_seven_objects,0.0
quality_seed42,quality,42,logical_deduction_three_objects,0.375
quality_seed42,quality,42,movie_recommendation,0.0
quality_seed42,quality,42,multistep_arithmetic_two,0.125
quality_seed42,quality,42,navigate,0.625
quality_seed42,quality,42,object_counting,0.125
quality_seed42,quality,42,penguins_in_a_table,0.375
quality_seed42,quality,42,reasoning_about_colored_objects,0.125
quality_seed42,quality,42,ruin_names,0.375
quality_seed42,quality,42,salient_translation_error_detection,0.0
quality_seed42,quality,42,snarks,0.25
quality_seed42,quality,42,sports_understanding,0.375
quality_seed42,quality,42,temporal_sequences,0.125
quality_seed42,quality,42,tracking_shuffled_objects_five_objects,0.25
quality_seed42,quality,42,tracking_shuffled_objects_seven_objects,0.125
quality_seed42,quality,42,tracking_shuffled_objects_three_objects,0.375
quality_seed42,quality,42,web_of_lies,0.0
quality_seed42,quality,42,word_sorting,0.125
diversity_seed42,diversity,42,boolean_expressions,0.625
diversity_seed42,diversity,42,causal_judgement,0.5
diversity_seed42,diversity,42,date_understanding,0.75
diversity_seed42,diversity,42,disambiguation_qa,0.125
diversity_seed42,diversity,42,dyck_languages,0.375
diversity_seed42,diversity,42,formal_fallacies,1.0
diversity_seed42,diversity,42,geometric_shapes,0.125
diversity_seed42,diversity,42,hyperbaton,0.5
diversity_seed42,diversity,42,logical_deduction_five_objects,0.125
diversity_seed42,diversity,42,logical_deduction_seven_objects,0.0
diversity_seed42,diversity,42,logical_deduction_three_objects,0.375
diversity_seed42,diversity,42,movie_recommendation,0.25
diversity_seed42,diversity,42,multistep_arithmetic_two,0.375
diversity_seed42,diversity,42,navigate,0.75
diversity_seed42,diversity,42,object_counting,0.25
diversity_seed42,diversity,42,penguins_in_a_table,0.125
diversity_seed42,diversity,42,reasoning_about_colored_objects,0.5
diversity_seed42,diversity,42,ruin_names,0.625
diversity_seed42,diversity,42,salient_translation_error_detection,0.0
diversity_seed42,diversity,42,snarks,0.25
diversity_seed42,diversity,42,sports_understanding,0.375
diversity_seed42,diversity,42,temporal_sequences,0.125
diversity_seed42,diversity,42,tracking_shuffled_objects_five_objects,0.25
diversity_seed42,diversity,42,tracking_shuffled_objects_seven_objects,0.25
diversity_seed42,diversity,42,tracking_shuffled_objects_three_objects,0.125
diversity_seed42,diversity,42,web_of_lies,0.25
diversity_seed42,diversity,42,word_sorting,0.125
